Demersal pisciv. sharks,Demersal non-pisciv. sharks,Coastal Pelagic piscivores,Demersal Non-piscivores (Large),Reef piscivores,Cepholapoda,Rays,Reef Non-piscivores,Soft Bottom Fish,Demersal omnivores,Reef omnivores,Coastal Zooplanktivores,Reef zooplankivores,Reef herbivores,Soft Bottom Decapods,Carnivorous Reef Zoobenthos,Herbivorous Reef Zoobenthis,Soft Bottom Zoobenthos,Sessile Filter Feeders,Zooplankton,Phytoplankton,Macroalgae,Detritus,Un
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.040705882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.020352941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.335823529,0.063230769,0.026570505,0,0,0.008456612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.183176471,0.010538462,0.021295294,0.000465802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.135,0.085,0.076087845,0.005079884,0.001672785,0,0.014039253,0.016563163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.020352941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.040705882,0.026346154,0.030702551,0.004732618,0.006458629,0.008456613,0.016379129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.030529412,0.179153846,0.047612355,0.016067228,0,0.054028472,0.065516514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.030529412,0.010538462,0.018545715,0.002469821,0.083049019,0.01010101,0.086856179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.010176471,0.005269231,0.010013431,0.002521576,0.001291726,0.008456613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.040705882,0.021076923,0.389497983,0.037301479,0.619283756,0.47662449,0,0,0.005617978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.010176471,0.021076923,0.067842777,0.029593876,0.270283009,0.070941698,0.019186979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.101764706,0.005269231,0.027585493,5.17558E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.2985,0.03485912,0.166695794,0.003511341,0.047216257,0.744319306,0.348293309,0.140449438,0.00071799,0.03850753,0.045630874,0.018804491,0.001617192,0,0,0,0,0,0,0,0,0,0
0,0,0.006896373,0.011831545,0,0,0,0,0.033707865,0.011418853,0,0,0.002999121,0,0.01025641,0,0,0,0,0,0,0,0,0
0,0.1545,0.02068912,0.397674958,0,0.01010101,0.040060034,0.404712611,0.112359551,0.22948647,0.072139758,0.016010833,0.006540832,0.001733988,0.035897436,0.366792453,0,0,0,0,0,0,0,0
0,0.119,0.082756479,0.201175853,0,0.08949932,0.013642606,0.174102186,0.561797753,0.00847527,0.131172684,0,0.042342596,0,0.564102564,0,0,0,0,0,0,0,0,0
0,0,0,0.007312859,0,0,0,0.011757444,0.005617978,0.095424153,0,0,0,0,0.025641026,0.452830188,0.050505051,0,0,0,0,0,0,0
0,0,0.139044961,0.020667206,0.013605809,0.216117905,0,1.35921E-05,0.140449438,0.194663579,0.000419785,0.938358293,0.920966021,0,0.020512821,0.135849056,0,0.141025641,0.46,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.243589744,0.52,0.95,0,0,0,0
0,0.0005,0,0.040239592,0,0,0,0.018347106,0,0.448518463,0.757760242,0,0.007133638,0.99664882,0.025641026,0.037735849,0.671717172,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.317948718,0.006792453,0.277777778,0.615384615,0.02,0.05,0,0,0,0
0,0,0,0.056118153,0.000843927,0,0,0.026210589,0,0.011295222,0,0,0.001213302,0,0,0,0,0,0,0,0,0,0,0
